displacement,force,time
1.4170000000000002e-05,0.00019063992694026642,1
2.2672000000000002e-05,0.0002775753793571157,4
3.1174e-05,0.00038131352999575495,7
3.9676e-05,0.0005126450390207742,10
4.8178e-05,0.0006775852124441718,13
5.667999999999999e-05,0.0008832438134060242,16
6.5182e-05,0.0011155068522883196,19
7.3684e-05,0.001368910382461913,22
8.218599999999999e-05,0.0016349832291005719,25
9.068799999999998e-05,0.0019118873359716248,28
9.918999999999998e-05,0.0021857491395632124,31
0.00010769199999999998,0.002449798702324621,34
0.00011619399999999999,0.002682868212162324,37
0.00012469599999999996,0.002905026416934986,40
0.00013319799999999998,0.0031124659039539716,43
0.00014169999999999997,0.003305188908958788,46
0.000150202,0.0034792242406781995,49
0.00015870399999999996,0.0036457463112868804,52
0.00016720599999999996,0.0037876302813277278,55
0.00017570799999999998,0.003927805183408623,58
0.00018420999999999997,0.004053078240881537,61
0.000192712,0.0041677499697228525,64
0.000201214,0.004270344429238934,67
0.00020971599999999996,0.004370280206108798,70
0.00021821799999999998,0.004452030223627482,73
0.00022671999999999997,0.004522252252028354,76
0.00023522199999999994,0.004591368344142202,79
0.00024372399999999996,0.0046226058185215935,82
0.000252226,0.0046187761832452495,85
