displacement,force,time
-0.000252226,-0.0010758280392676426,1
-0.00024372399999999996,-0.0010053930482517852,4
-0.00023522199999999994,-0.0009574465248509892,7
-0.00022671999999999997,-0.0009196029575095925,10
-0.00021821799999999998,-0.000883345823272123,13
-0.00020971599999999996,-0.0008391146707206259,16
-0.000201214,-0.0008043907665509384,19
-0.000192712,-0.0007670732527606124,22
-0.00018420999999999997,-0.0007356662782086155,25
-0.00017570799999999998,-0.0006991191488401077,28
-0.00016720599999999996,-0.0006691046620455677,31
-0.00015870399999999996,-0.0006435918077310589,34
-0.000150202,-0.0006093577498168156,37
-0.00014169999999999997,-0.0005817402863581595,40
-0.00013319799999999998,-0.0005556378154747911,43
-0.00012469599999999996,-0.0005309024667238989,46
-0.00011619399999999999,-0.0004950406834704127,49
-0.00010769199999999998,-0.00045885687718901966,52
-9.918999999999998e-05,-0.0004266216097608634,55
-9.068799999999998e-05,-0.0003856306322463544,58
-8.218599999999999e-05,-0.0003456004900386237,61
-7.3684e-05,-0.00030663171145292633,64
-6.5182e-05,-0.00025954394940832766,67
-5.667999999999999e-05,-0.00022541931630450725,70
-4.8178e-05,-0.00018541758933398884,73
-3.9676e-05,-0.00014674412318317655,76
-3.1174e-05,-0.00011452604711242385,79
-2.2672000000000002e-05,-8.486962249900473e-05,82
-1.4170000000000002e-05,-5.225054138605713e-05,85
