displacement,force,time
0.0001,1.9957711716983947e-05,1
0.00013000000000000004,4.509274126392489e-05,4
0.00016000000000000004,4.634759214783932e-05,7
0.00019000000000000006,5.5948429588578096e-05,10
0.0002200000000000001,5.732602497555972e-05,13
0.0002500000000000001,6.538353374250295e-05,16
0.00028000000000000014,6.78858208977188e-05,19
0.00031000000000000016,6.696429953462149e-05,22
0.00034000000000000024,6.851268859616427e-05,25
0.00037000000000000027,7.233742426773827e-05,28
0.0004000000000000003,7.554613680140565e-05,31
0.00043000000000000026,7.894388423154991e-05,34
0.00046000000000000034,8.325106302290361e-05,37
0.0004900000000000004,8.608580883916397e-05,40
0.0005200000000000004,8.562948528834056e-05,43
0.0005500000000000004,9.255148724295559e-05,46
0.0005800000000000004,9.852415741730926e-05,49
0.0006100000000000005,0.00010010100952244434,52
0.0006400000000000005,0.000101391192283561,55
0.0006700000000000005,0.00010858762903071771,58
0.0007000000000000005,0.00011404602072993368,61
0.0007300000000000006,0.00011892728003592864,64
0.0007600000000000006,0.00012686056409277056,67
0.0007900000000000006,0.00014105649441387356,70
0.0008200000000000006,0.00014407964155487474,73
0.0008500000000000008,0.0001522657896185073,76
0.0008800000000000008,0.00016859856071583135,79
0.0009100000000000007,0.00018105649278781912,82
0.0009400000000000007,0.0001988898042459102,85
0.0009700000000000009,0.00022111717475427526,88
0.0010000000000000007,0.00024200075085135394,91
0.0010300000000000008,0.00025395409511310725,94
0.0010600000000000008,0.0002853228056075532,97
0.001090000000000001,0.00031564269015857285,100
0.001120000000000001,0.00033835779098697493,103
0.0011500000000000008,0.0003705991815472678,106
0.001180000000000001,0.00040916042061852595,109
0.001210000000000001,0.0004418797701362002,112
0.001240000000000001,0.00046894842356417317,115
0.0012700000000000012,0.0005121727929719829,118
0.0013000000000000012,0.0005509116698284478,121
0.001330000000000001,0.0005978520816997315,124
0.0013600000000000012,0.0006413797159002355,127
0.0013900000000000013,0.0006888443708000256,130
0.0014200000000000013,0.0007381402252365391,133
0.0014500000000000014,0.0007914114580328482,136
0.001480000000000001,0.0008415245566655119,139
0.0015100000000000014,0.0008966537528341821,142
0.0015400000000000014,0.0009478832530024129,145
0.0015700000000000015,0.0010110479017259417,148
0.0016000000000000014,0.0010554828544533262,151
0.0016300000000000012,0.0011147901301963685,154
0.0016600000000000015,0.0011742797759305148,157
0.0016900000000000012,0.0012264602760029704,160
