displacement,force,time
-1.4170000000000002e-05,0.0003245065919317614,1
-2.2672000000000002e-05,0.00026934258033407604,4
-3.1174e-05,0.00023976883601668005,7
-3.9676e-05,0.00020278322776896604,10
-4.8178e-05,0.00016660152551476313,13
-5.667999999999999e-05,0.00013319737823009933,16
-6.5182e-05,0.00010071996160496943,19
-7.3684e-05,7.406715140075213e-05,22
-8.218599999999999e-05,2.1961744379433525e-05,25
-9.068799999999998e-05,-1.598613230272832e-05,28
-9.918999999999998e-05,-4.8850230064335714e-05,31
-0.00010769199999999998,-8.226271006803752e-05,34
-0.00011619399999999999,-0.00010376730251719958,37
-0.00012469599999999996,-0.00014070590583955964,40
-0.00013319799999999998,-0.00016259820363411523,43
-0.00014169999999999997,-0.00019839076644090147,46
-0.000150202,-0.00022388545202739902,49
-0.00015870399999999996,-0.00025407662441252564,52
-0.00016720599999999996,-0.0002861991653246582,55
-0.00017570799999999998,-0.0003113489673252251,58
-0.00018420999999999997,-0.00035101822016244153,61
-0.000192712,-0.0003858306319239973,64
-0.000201214,-0.0004234957666141086,67
-0.00020971599999999996,-0.0004625548423520048,70
-0.00021821799999999998,-0.0004983461139628921,73
-0.00022671999999999997,-0.000546923566861502,76
-0.00023522199999999994,-0.0005979914422339011,79
-0.00024372399999999996,-0.0006521300835136874,82
-0.000252226,-0.0007118646149552,85
